Sample label,Sample name,Location,Source type,Reservoir temperature (°C),pH,EC (microS/cm),K (mg/l),Na (mg/l),Boron (mg/l),SiO2 (mg/l),Cl (mg/l),Temperature source,Dataset,Geothermometry
44,Sart,Manisa,Thermal spring,118.0,7.6,907.0,24.0,198.0,16.0,72.0,37.0,Calculated,Training,117.84152409103945
45,Sarikiz,Manisa,Thermal spring,79.0,8.0,1558.0,13.0,240.0,17.4,27.0,58.0,Calculated,Training,79.27607084354383
46,Saraycik,Manisa,Thermal spring,153.0,7.2,3800.0,106.0,1020.0,11.0,150.0,127.0,Calculated,Training,152.71425964470723
47,Bozöyük,Mugla,Thermal spring,115.0,7.9,1400.0,19.0,148.0,0.7,68.0,38.0,Calculated,Training,115.36396623123164
48,KD42,Denizli,Well,244.0,8.5,5480.0,191.0,1464.0,30.0,460.0,144.0,Measured,Training,219.84663486684315
49,KD46,Denizli,Well,181.0,8.2,5090.0,99.0,1332.0,19.0,261.0,212.0,Measured,Training,183.44641672331858
50,KD45,Denizli,Well,232.0,7.9,5770.0,140.0,1513.0,33.0,492.0,212.0,Measured,Training,224.55524246709217
51,KD50,Denizli,Well,218.0,7.3,5370.0,140.0,1389.0,29.0,444.0,248.0,Measured,Training,217.4036150093997
52,KD55,Denizli,Well,236.0,7.5,5890.0,140.0,1508.0,31.0,503.0,326.0,Measured,Training,226.12306646132407
53,KD15,Denizli,Well,206.0,8.7,4790.0,118.0,1225.0,19.0,257.0,99.0,Measured,Training,182.52949870452977
54,KD16,Denizli,Well,209.0,8.6,4840.0,125.0,1240.0,19.0,258.0,99.0,Measured,Training,182.75971247904096
55,KD20,Denizli,Well,204.0,8.8,4950.0,128.0,1273.0,20.0,310.0,101.0,Measured,Training,193.91625805024046
56,KD21,Denizli,Well,205.0,8.1,4490.0,108.0,1149.0,14.0,263.0,85.0,Measured,Training,183.90098342454235
57,R3,Denizli,Well,190.0,8.1,4640.0,78.0,1229.0,15.0,219.0,121.0,Measured,Training,173.24244853692437
58,KD23B,Denizli,Well,245.0,7.2,5440.0,179.0,1415.0,25.0,434.0,118.0,Measured,Training,215.84437037411624
59,KD23D,Denizli,Well,238.0,7.1,5250.0,175.0,1341.0,25.0,431.0,109.0,Measured,Training,215.37155223355438
60,KD18A,Denizli,Well,215.0,7.0,4920.0,154.0,1254.0,24.0,351.0,101.0,Measured,Training,201.77850494975326
61,KD2A,Denizli,Well,237.0,7.4,4990.0,159.0,1239.0,24.0,450.0,103.0,Measured,Training,218.32705703741874
62,KD9A,Denizli,Well,225.0,7.0,4910.0,154.0,1269.0,26.0,381.0,101.0,Measured,Training,207.11632008324807
64,R1A,Denizli,Well,231.0,7.6,4360.0,118.0,1099.0,20.0,290.0,89.0,Measured,Training,189.80141535603116
